timestamp customerId cookie auctionId
97 2133 Q275CN 5
7 2155 SSWXLH 9
36 2124 XMPS4F 11
30 2818 NXQWW1 7
64 2156 7N5YPB 10
32 2110 5LH4KP 22
53 2323 1QB9X8 17
35 2518 8UJSOG 26
95 2428 ZJKKP5 29
43 2602 ZSF9N5 16
84 2485 0VG19E 14
27 2294 69W5TI 11
70 2095 UFTZ57 20
27 2797 LOT39U 30
83 2922 GYCGXM 25
34 2877 DY4SPS 29
47 2312 I1UCDL 7
26 2464 35A8LB 30
28 2167 IC15TH 18
55 2294 Q1RRER 7
92 2319 W09QJR 26
37 2384 PU5ZNC 1
94 2466 T205YW 30
52 2963 0YQRJH 27
60 2579 NSVEB5 15
23 2726 7TIPM7 5
23 2432 WNGP1G 7
81 2413 HNN2VQ 9
20 2591 5PCMNU 23
41 2768 EA61ZI 18
46 2260 O6GDGV 14
57 2032 JI894O 20
28 2079 9UUA53 6
55 2767 RYLAXO 19
25 2845 XZB77A 29
94 2499 ZFYT7J 15
58 2290 DZ1X6J 18
15 2555 1HFNBC 27
47 2174 D7GING 3
1 2428 8EDKXS 20
27 2726 MVYYLH 16
24 2357 PBAT2R 9
93 2989 TTQJ7O 7
52 2848 6MI8MU 13
66 2690 SJAZXO 16
77 2686 942QLE 6
45 2136 EP01G4 17
58 2339 7EROTY 21
88 2252 XPLCYX 17
82 2155 AMT6Q3 13
98 2524 5U5BUC 21
3 2634 J1W9YM 5
7 2920 8C9T2M 19
22 2780 UE3SIL 1
95 2367 FUHU1O 4
44 2859 I5GZ5E 1
69 2070 0M61EW 10
88 2728 IGW29Y 20
97 2673 75FAUO 30
8 2841 2T18KS 25
35 2674 PGJI1K 20
31 2092 VEIT30 21
72 2478 KT7TKL 10
86 2961 PYZDST 1
59 2310 Q3EFG1 22
52 2924 TF6YQC 23
46 2016 FKIQY0 19
75 2310 ZU1G49 20
36 2196 YXDKLT 21
29 2726 FZBLGI 11
58 2760 PXTBUS 16
84 2573 IV2G7Z 5
51 2167 7IF09K 14
49 2069 859MEE 24
13 2130 70YYZJ 4
25 2800 26TRVN 14
30 2944 U90IFB 11
33 2875 LPD1LH 21
23 2188 ZJT6S4 1
10 2767 IJERX7 11
29 2253 HN5W05 4
50 2467 XZCJBS 29
83 2066 89BLR8 21
93 2081 3EYYYK 11
68 2103 VP0U35 10
87 2409 X0GTTJ 8
21 2007 ETLRK4 17
36 2955 42A6X4 17
76 2766 VVG6PL 26
38 2917 ON530E 17
67 2091 OT2FKC 10
59 2674 O5VAJJ 3
59 2907 L9843K 23
64 2525 FCYS5E 5
69 2058 MDR045 27
41 2630 7VPTKO 4
69 2181 EQSZ9N 3
43 2384 JILZZ8 8
9 2280 ZTKXVY 2
99 2895 MY8VNM 5
63 2277 KNOZ9Y 24
25 2790 SA48IQ 28
5 2292 IFAVP2 20
74 2460 ISOQ7F 26
94 2329 ELT9ES 13
7 2029 O644TH 13
56 2278 NMY1PS 24
93 2416 DSBMMA 10
66 2777 EJBL1B 10
28 2583 I68BVJ 15
35 2885 WUCMD2 24
12 2084 G1AV9Z 15
46 2165 NEGQ0I 27
74 2372 OFAVF4 10
24 2231 MFIQ8K 16
85 2131 3NTB8B 13
42 2105 J26D6K 5
87 2437 YVBQN4 28
10 2878 YP43AJ 4
65 2410 DQM362 16
38 2080 N35EJ0 27
47 2830 SI97UI 20
89 2244 BZWOQN 18
23 2518 GL6BLT 21
22 2154 8KNL6Z 3
26 2258 2B5N44 2
82 2590 OKNCZN 1
54 2869 XB4WNK 27
4 2488 EMPPV6 1
26 2858 YCF3O0 27
29 2030 Y576HD 2
95 2746 3PV59Z 22
15 2339 AGXYTX 28
40 2801 MM086H 13
97 2355 BTR6MW 9
28 2716 ULNOZH 1
1 2668 VUZWJW 2
99 2949 8QBU1T 1
96 2147 0CLS6A 11
5 2303 QXWOJ0 1
3 2223 60JXQ1 24
25 2877 9QUXFF 10
51 2799 HPOJKW 10
72 2067 0A014G 11
45 2748 PUS9N3 13
57 2025 ERWWL8 5
41 2076 ZHSCNO 20
71 2915 UJTXS1 19
16 2924 RUW5BJ 2
82 2933 AGAW63 27
33 2496 HIWYOM 3
9 2130 2L427Y 7
33 2061 MWALCC 30
96 2429 BOKJ3E 7
87 2502 WK0O8O 5
100 2692 JBI8WR 19
29 2555 OHKCPQ 1
32 2396 L9WEIO 18
32 2972 D4WREX 28
61 2912 MZ2HFC 25
40 2001 MCHPCO 13
72 2567 0GBMZE 21
72 2638 RBRSFT 7
26 2906 0R3PSZ 21
57 2582 LT3QTV 15
24 2545 9ISJHK 11
68 2058 B1W6HH 1
99 2140 NQ3HRN 10
3 2075 5ID1U1 22
71 2120 GFP972 1
1 2570 G5JF6T 14
62 2398 NMPP3F 13
87 2748 ORNTF6 20
91 2335 TMRIYW 9
80 2476 7QVJUN 23
24 2921 PG2MRD 15
93 2261 PTX2UG 18
57 2395 50NPZG 27
30 2670 E700FN 4
18 2099 0SE67Z 28
35 2161 3BAXLL 23
59 2231 JC1RJ5 10
90 2733 N2SAE9 15
72 2112 JT14TP 9
81 2519 9M46K2 23
52 2803 7QE1HB 25
67 2699 VCGF5H 10
9 2094 EJ4HJ5 30
30 2950 LYYW09 9
100 2048 ETVR48 29
52 2053 7YA44B 18
37 2340 667510 22
90 2633 RMUM00 15
76 2176 KITM3J 6
26 2393 GIAH3G 16
59 2962 AVWK2S 29
10 2808 I41VHP 14
93 2719 W7RD4G 9
54 2135 38JZMT 28
76 2027 6TNTF2 23
66 2403 14FUJW 11
83 2530 K3YS0K 14
38 2448 0MZJD2 18
1 2680 EYQKCB 22
43 2344 LQQQT7 4
18 2486 A9L2BD 25
41 2635 MMV9D7 3
80 2495 D5DD0T 17
96 2612 Z5X899 4
67 2549 IAGVGE 29
16 2603 6DTHA0 27
97 2582 ENAVER 22
23 2994 YH70G4 28
76 2852 Q1PWK9 12
78 2466 008I24 25
40 2333 UQS48F 16
100 2058 LB473C 29
6 2855 LJMGVE 1
47 2363 XJU8Z8 1
47 2122 TB40PG 9
74 2979 WD5KNH 26
42 2066 A0HX9H 10
86 2119 8ICJ69 28
58 2375 7GL3Y5 5
6 2369 PQHEFS 5
27 2341 LL1HEA 2
53 2093 8OUK0I 7
32 2376 V77IS7 21
21 2880 K9RN4F 4
66 2120 5APGO7 17
76 2071 E708MU 25
96 2082 GZBGP2 24
38 2783 C24LIY 16
86 2751 VBPUXK 3
37 2003 OX8WOC 15
62 2497 L7TMC3 14
96 2879 YMEQXV 1
49 2607 GK0VCS 15
10 2280 J810RT 22
92 2027 81N7VQ 14
1 2395 OASRPF 4
68 2878 05NDXH 12
60 2075 46U6JV 18
18 2169 4OUOG7 28
25 2499 L7M7GZ 6
3 3000 PTKADA 10
1 2805 QK9579 18
58 2826 VRZLIG 22
79 2764 0J9S4O 29
7 2115 6UGOLO 27
17 2677 SID0G4 22
3 2221 J75JGG 16
70 2161 31D7UW 27
81 2958 BVQKOZ 6
58 2070 FDFTI0 18
84 2552 EE2M5P 18
79 2914 876WLA 26
27 2400 Z0ULLQ 9
58 2124 HAXCQ1 6
95 2812 XLB97P 24
38 2214 FVZ1H6 30
51 2409 ZZWDAM 25
13 2819 5QQAJF 19
89 2742 CTGI2G 19
46 2803 SBVDIB 15
100 2041 V88MPZ 5
99 2709 G6ST6A 7
10 2588 E33QCY 10
53 2755 RF4E25 14
27 2272 WLNJ1H 7
18 2624 KHK89W 25
76 2630 SNYQ6O 22
94 2622 7P2TD8 20
58 2102 NZO307 26
69 2026 AYMA9Z 28
32 2162 1R0BUE 21
84 2650 Y93WP2 13
30 2363 49VYEW 2
88 2895 BWP939 28
54 2923 6N0516 16
24 2129 0O8890 19
96 2626 SLGVL2 2
24 2672 AJFFVN 10
82 2631 OFIDOO 30
44 2729 K08BII 24
90 2100 BCQOOL 22
43 2420 YOEKLM 12
89 2432 QAFKZ3 9
19 2389 PDW3MX 22
81 2281 L7F6NG 3
32 2505 GB17OE 10
75 2624 2I4XO0 14
91 2844 NNMHB7 10
100 2643 L5MZ2K 23
29 2103 W7K3XR 22
1 2342 6T6BL5 13
11 2868 F0MXMR 29
59 2498 AJNG2M 25
11 2095 ON5RRD 19
8 2319 MF0E4Z 10
79 2923 M1TNPL 3
86 2887 HS9WHG 26
19 2057 E8SBWP 1
86 2980 O8CN8Z 18
36 2053 9MFJQZ 8
37 2675 K9J8I9 24
25 2051 RB4GA2 18
40 2728 BYFBUY 5
38 2046 SPI9TZ 2
76 2717 0VFE7L 15
7 2511 IEXQFJ 17
56 2932 DSGNJT 17
32 2508 B96ML8 11
68 2583 ZCA5X0 4
82 2710 IYJLWG 7
82 2822 OZENSD 23
12 2343 6KW5UT 14
62 2002 46GZLI 20
1 2024 4Y3D92 16
93 2784 3REIFV 14
65 2728 8CH044 23
87 2548 PAB9RM 21
51 2656 AXL9FY 27
32 2642 BE6P9I 7
21 2259 OD4P5K 22
59 2960 QC9LXD 15
77 2102 D36K8E 23
34 2942 QIAL2Z 10
10 2713 4NCS1K 10
57 2367 N2990P 23
38 2957 HWE9U3 21
92 2231 BSLITL 20
8 2206 ZYNRC1 23
86 2888 K9W7RI 23
3 2008 BYRWKQ 19
44 2777 YQUUBD 17
6 2114 X3M35H 6
7 2902 GNR5OY 9
24 2142 CM62QC 15
1 2418 B8GUBZ 14
73 2341 F45VNW 14
38 2303 QAUBYZ 24
82 2288 O70HK3 21
3 2666 ZJR32E 19
11 2548 JI8HMU 16
33 2247 MT2Q8B 24
37 2586 87QPNI 16
99 2369 7RRCIX 18
33 2219 SGN53F 8
34 2373 WG85OL 26
97 2457 N531XN 23
